id    y         intercept 
         1   3.36990127 1 
         2  -0.54275314 1 
         3   0.17176173 1 
         4  -0.47262054 1 
         5   2.02223346 1 
         6   0.76393207 1 
         7   0.37423957 1 
         8   0.27467136 1 
         9  -2.03392403 1 
        10   2.56699030 1 
        11  -2.69755098 1 
        12  -0.19344571 1 
        13  -0.46358866 1 
        14   0.38727286 1 
        15  -1.24269403 1 
        16   0.27641196 1 
        17  -3.49445584 1 
        18   1.40786299 1 
        19   0.87699605 1 
        20   0.56841738 1 
        21   1.17723717 1 
        22  -1.67595101 1 
        23  -1.22289678 1 
        24   1.79192885 1 
        25   0.35517269 1 
        26  -0.44866124 1 
        27  -0.54305207 1 
        28  -2.05126365 1 
        29  -1.65944559 1 
        30   1.36543675 1 
        31  -2.21303444 1 
        32  -2.25476623 1 
        33   0.42585244 1 
        34  -0.98235023 1 
        35  -0.23420158 1 
        36  -0.45734765 1 
        37   3.37073985 1 
        38  -1.06290065 1 
        39   0.80835271 1 
        40  -1.95192471 1 
        41   0.04007194 1 
        42  -1.72417861 1 
        43   2.84019907 1 
        44   0.52098276 1 
        45   2.14345273 1 
        46  -2.15085953 1 
        47  -3.09966026 1 
        48  -0.77529872 1 
        49   0.06839995 1 
        50   1.92812488 1 
        51   2.58163775 1 
        52   0.22908492 1 
        53   1.95825504 1 
        54   1.73122691 1 
        55   0.36329850 1 
        56   2.52591333 1 
        57  -3.50271162 1 
        58   1.77934501 1 
        59  -0.60393925 1 
        60  -0.40765308 1 
        61   0.35910362 1 
        62  -1.49688277 1 
        63   0.95510316 1 
        64  -1.16225801 1 
        65  -0.12167538 1 
        66  -0.85185327 1 
        67   1.78432489 1 
        68   1.68309845 1 
        69  -0.06417511 1 
        70  -1.19222875 1 
        71  -1.26046716 1 
        72  -0.10711427 1 
        73   0.12526701 1 
        74  -0.61323127 1 
        75  -1.38010819 1 
        76  -2.12537963 1 
        77   1.21728044 1 
        78   1.01382168 1 
        79   1.50369454 1 
        80   0.23231881 1 
        81   0.42120756 1 
        82   2.16763679 1 
        83   0.35519890 1 
        84  -0.79631501 1 
        85   3.74546460 1 
        86   0.84012040 1 
        87  -0.67130550 1 
        88  -0.42389539 1 
        89   1.13082001 1 
        90   0.02510408 1 
        91   0.77518161 1 
        92   1.96740832 1 
        93  -1.84262877 1 
        94   0.91721231 1 
        95   0.97463898 1 
        96  -2.48314125 1 
        97  -0.49603396 1 
        98   1.71124986 1 
        99   0.33973501 1 
       100   2.95434962 1 
