id    y         intercept 
       101  -0.27412362 1 
       102  -1.45738061 1 
       103  -1.09104161 1 
       104  -0.58565233 1 
       105  -0.30830609 1 
       106   0.50767972 1 
       107  -1.63073843 1 
       108   1.51766491 1 
       109   1.45327881 1 
       110  -0.78494020 1 
       111  -1.79124523 1 
       112  -1.16948386 1 
       113   1.86147688 1 
       114  -1.47811058 1 
       115  -0.96649055 1 
       116   2.20965463 1 
       117  -0.99715572 1 
       118  -0.01671130 1 
       119  -0.49882127 1 
       120   2.35857272 1 
       121   1.44037175 1 
       122   1.80889906 1 
       123   1.01144784 1 
       124   2.72283726 1 
       125   0.05204948 1 
       126   0.40250695 1 
       127   1.16972491 1 
       128   1.33448377 1 
       129   0.13507706 1 
       130   0.63310971 1 
       131   1.31437038 1 
       132  -3.23766452 1 
       133   0.96498111 1 
       134   3.58241926 1 
       135  -0.71569048 1 
       136  -0.28434416 1 
       137  -0.20104787 1 
       138   1.71581819 1 
       139   0.04157780 1 
       140   0.60183809 1 
       141  -2.63176373 1 
       142  -1.32276807 1 
       143  -0.24740772 1 
       144  -1.50068943 1 
       145  -1.01835112 1 
       146  -0.40618035 1 
       147  -0.73883521 1 
       148  -0.44468437 1 
       149   2.02391610 1 
       150   1.96908810 1 
       151  -0.04002942 1 
       152  -2.35020100 1 
       153   1.87356511 1 
       154  -0.36389945 1 
       155  -1.84649234 1 
       156   1.42344069 1 
       157  -1.03047903 1 
       158   1.48894471 1 
       159  -0.30089875 1 
       160   0.63310707 1 
       161  -1.32751696 1 
       162   0.48758811 1 
       163  -0.44681172 1 
       164  -0.19429861 1 
       165   0.55271834 1 
       166  -0.11370391 1 
       167   1.30755296 1 
       168  -0.62102398 1 
       169   1.78648162 1 
       170  -0.68963531 1 
       171   1.54675964 1 
       172   1.79613713 1 
       173   1.42507207 1 
       174  -0.39053195 1 
       175   0.56947204 1 
       176  -1.65247877 1 
       177  -2.05012154 1 
       178  -0.41710195 1 
       179   2.08577628 1 
       180   1.30354905 1 
       181  -0.15698608 1 
       182   0.58322056 1 
       183  -1.54591837 1 
       184   0.21139570 1 
       185   1.51325485 1 
       186   1.56128852 1 
       187  -0.82370780 1 
       188  -0.41013414 1 
       189  -1.23554773 1 
       190  -0.55639800 1 
       191  -0.58659775 1 
       192  -1.17163847 1 
       193  -1.75179884 1 
       194  -1.08499295 1 
       195  -1.33132111 1 
       196  -1.30248663 1 
       197   0.31207777 1 
       198  -0.09617805 1 
       199  -1.60020798 1 
       200  -2.51229700 1 
